lga,state,latitude,longitude,current_stock_level,fridge_temperature_celsius,predicted_stockout_risk
Gezawa,Kano,11.983936,8.623301392,5173,14.090000000000002,0.0003581267217630854
Gezawa,Kano,12.123433,8.721703,5976,13.98923076923077,0.2777450855066783
Gumel,Jigawa,12.6271858,9.3879454,1477,16.865,0.4303292124944927
Gumel,Jigawa,12.695501,9.42341,1311,19.576999999999998,0.3709831085100467
Guri,Jigawa,12.5095577,10.5133912,1014,15.704285714285716,0.4447351673968346
Guri,Jigawa,12.7659385,10.3823597,2625,19.648333333333333,0.3256269929428122
Gwale,Kano,11.98378857,8.474585926,8443,16.69272727272727,0.1559500839853739
Gwale,Kano,11.984956,8.492864,8037,4.475882352941177,0.3464195946182627
Gwaram,Jigawa,11.4064374,9.8611203,1937,18.03,0.2947012824520022
Gwaram,Jigawa,11.4300281,9.8024062,1118,19.315,0.3356680031583336
Gwarzo,Kano,11.8249171,7.93284187,3690,20.235714285714284,0.28094565111294756
Gwarzo,Kano,11.82590333,7.933865,4051,18.998749999999998,0.0004166666666666667
Gwiwa,Jigawa,12.78568,8.34096,1894,17.84111111111111,0.32202511813754287
Gwiwa,Jigawa,12.78793128,8.354072707,699,17.661666666666665,0.30902827138279
Hadejia,Jigawa,12.4507,10.03991,1981,9.041818181818181,0.43487533039615284
Hadejia,Jigawa,12.4557465,10.0419553,2191,17.137272727272727,0.3292124536976061
Ingawa,Katsina,12.5452845,8.0634841,2489,10.175999999999998,0.39547690724185164
Ingawa,Katsina,12.70926913,7.968730781,430,19.790000000000003,0.23904833961437377
Jahun,Jigawa,11.993444,9.798088,1605,16.851111111111113,0.35153607877359566
Jahun,Jigawa,12.10148,9.76306,2386,13.398333333333333,0.37777527412318096
Jibia,Katsina,13.015108,7.226769,1718,20.415714285714287,0.2924927322326102
Jibia,Katsina,13.123954,7.599715,1097,15.821666666666667,0.3203613663048343
Kabo,Kano,11.91412,8.17814,6760,18.079090909090908,0.251543007312964
Kabo,Kano,11.9451917,8.030194043,6041,11.535714285714286,0.33563873462101024
Kafin Hausa,Jigawa,12.0865798,9.8967083,1144,18.565,0.3082744200138187
Kafin Hausa,Jigawa,12.15531,10.03186,1345,17.126666666666665,0.3971954523430162
Kafur,Katsina,11.50570667,7.642486667,969,17.465,0.3133899319724094
Kafur,Katsina,11.65509,7.548706,426,20.5,0.257668681324466
Kaita,Katsina,13.06307,7.75098,956,15.348571428571429,0.4359519394328531
Kaita,Katsina,13.07197,7.78835,1279,21.243999999999996,0.23400003156450833
Kankara,Katsina,12.04851833,7.275371667,2405,14.84125,0.35521634016857756
Kankara,Katsina,12.115259,7.321506,792,20.7475,0.0
Kankia,Katsina,12.31597167,7.800478333,1666,18.483333333333334,0.30368184015233507
Kankia,Katsina,12.496635,7.843028333,860,21.365,0.33158509473839776
Kano Municipal,Kano,11.998514,8.516405,3709,16.92222222222222,0.36222936570476816
Kano Municipal,Kano,12.00201,8.51656,5359,15.347692307692306,0.2803263339426699
Karaye,Kano,11.816173,8.002064,2792,14.6775,0.3593070176984416
Karaye,Kano,11.82725,7.99075,3053,12.805,0.3296913628159827
Katsina,Katsina,12.979632,7.625279,1758,12.481428571428571,0.0014285714285714286
Katsina,Katsina,12.9891104,7.614641,849,18.166666666666668,0.00020202020202020205
Kaugama,Jigawa,12.7669406,9.7488339,647,15.003333333333334,0.3138890903163484
Kazaure,Jigawa,12.625483,8.526033,1016,15.31125,0.3944427316139692
Kazaure,Jigawa,12.6826637,8.4046257,3315,14.632857142857144,0.4363600891909097
Kibiya,Kano,11.451798,8.716889,3298,19.322222222222223,0.2849102470958793
Kibiya,Kano,11.505875,8.713019,2295,18.975,0.2744367002215951
Kiri Kasamma,Jigawa,12.5351647,10.120525,1733,16.375555555555554,0.38006248498227274
Kiri Kasamma,Jigawa,12.65473599,10.33839415,2763,17.215,0.2872422805029972
Kiru,Kano,11.43429704,8.237017491,4457,16.362000000000002,0.26989604786766636
Kiru,Kano,11.53789,8.07234,4033,10.495714285714286,0.2635672130667571
Kiyawa,Jigawa,11.8626563,9.6098779,897,14.577,0.3887035482180084
Kiyawa,Jigawa,11.8746973,9.6683207,2644,13.135555555555554,0.3185836083390125
Kumbotso,Kano,11.88844347,8.504878493,5109,12.602,0.0003333333333333333
Kunchi,Kano,12.407603,8.222308,3436,14.83,0.2743353198238176
Kunchi,Kano,12.58688,8.25906,4073,18.867,0.0
Kura,Kano,11.740489,8.455725,6074,15.044615384615385,0.3191229474737231
Kura,Kano,11.81097474,8.431165637,6096,14.311538461538461,0.3476304448144087
Kurfi,Katsina,12.578279,7.599645,1899,15.020000000000001,0.35896734643094014
Kurfi,Katsina,12.588494,7.497081,1577,21.431428571428572,0.0009523809523809524
Kusada,Katsina,12.47322193,7.931394451,899,14.933333333333334,0.0
Kusada,Katsina,12.49313,7.904,628,20.743333333333332,0.2596020709288282
Madobi,Kano,11.75815487,8.355088232,8304,3.332,0.27755602958588915
Madobi,Kano,11.81787113,8.326992062,3893,16.527,0.2520064072147854
Mai'Adua,Katsina,13.049588,8.250044,1907,20.693333333333335,0.0
Mai'Adua,Katsina,13.16245167,8.214183333,1739,15.73375,0.32379660685152994
Maigatari,Jigawa,12.771199,9.475703001,2917,9.377272727272727,0.34656675072712834
Maigatari,Jigawa,12.8045044,9.448120117,1371,19.248333333333335,0.30896324112185947
Makoda,Kano,12.33582,8.444996,8477,13.336153846153847,0.2233071607455294
Makoda,Kano,12.384923,8.460376,7989,8.490833333333335,0.20710107419419999
Malam Madori,Jigawa,12.3704942,9.9098814,1460,14.11125,0.35281986140907895
Malam Madori,Jigawa,12.4376713,9.9213013,2426,14.016153846153847,0.41884629517160415
Malumfashi,Katsina,11.87941,7.65932,1973,12.895000000000001,0.0
Malumfashi,Katsina,11.9581218,7.6296835,783,20.8,0.24697260333506912
Mani,Katsina,12.8395,8.05643,872,20.646666666666665,0.0
Mani,Katsina,12.91044,7.89004,1030,10.882,0.4009046755674367
Mashi,Katsina,12.94781833,8.001308333,1752,13.856250000000001,0.0009090909090909092
Mashi,Katsina,12.97191,8.03192,2090,18.214285714285715,0.31583584322752206
Matazu,Katsina,12.18338,7.70453,1218,15.632857142857144,0.3774012986751017
Matazu,Katsina,12.272683,7.647533,1273,18.709999999999997,0.3125896360040522
Miga,Jigawa,12.17730713,9.765075684,1829,14.670000000000002,0.3893421394081376
Miga,Jigawa,12.23534905,9.786980248,1502,16.226000000000003,0.40372751445186306
Minjibir,Kano,12.2170973,8.662968055,6798,11.190909090909091,0.22818114449066482
Minjibir,Kano,12.222731,8.707135,3308,16.395,0.302779806181397
Musawa,Katsina,12.00237356,7.58279931,1089,15.942727272727273,0.44998537429683017
Musawa,Katsina,12.0953,7.803698333,1475,16.977142857142855,0.0
Nasarawa,Kano,11.98134,8.56272,5437,19.045555555555556,0.21844754993898943
Nasarawa,Kano,12.00531006,8.586303711,5428,18.63,5.509641873278237e-05
Nguru,Jigawa,12.81344,10.292905,1602,12.493333333333332,0.42882142163424214
Rano,Kano,11.393426,8.538756,4768,19.576,0.25864347020577394
Rano,Kano,11.4176757,8.481773059,4073,12.473333333333333,0.3163270902785999
Rimi,Katsina,12.94195667,7.731351667,655,16.26,0.30600978203510076
Rimi,Katsina,13.0139,7.74299,2383,18.9575,0.0
Rimin Gado,Kano,11.8947841,8.375658652,5369,15.338888888888889,0.25438362395226594
Rimin Gado,Kano,11.89921863,8.27847613,5877,16.828181818181818,0.2956620269801311
Ringim,Jigawa,12.12154,9.2898,2450,16.950833333333335,0.3743524205481701
Ringim,Jigawa,12.1503715,9.1699798,772,11.9075,0.48110837985241034
Rogo,Kano,11.51802658,7.76543349,7868,13.680000000000001,0.0
Rogo,Kano,11.54989,7.87368,3409,19.798333333333332,0.28037873690771775
Roni,Jigawa,12.51526416,8.37113881,667,15.121666666666666,0.4353486784045699
Roni,Jigawa,12.6609469,8.2665742,2198,18.304615384615385,0.3862981582134869
Sabuwa,Katsina,11.206827,7.102657,1342,14.922857142857143,0.37283107946082744
Sabuwa,Katsina,11.25672667,7.158958333,1004,17.128333333333334,0.30570667075700625
Safana,Katsina,12.515367,7.322757,1213,15.278333333333332,0.33916792588901046
Safana,Katsina,12.54589844,7.345275879,2105,18.797777777777778,0.0
Sandamu,Katsina,12.83704833,8.39247,1432,20.718,0.0
Sandamu,Katsina,12.93222333,8.436898333,1621,20.51833333333333,0.25742654899366324
Shanono,Kano,12.00265,8.09711,4189,14.966666666666667,0.2990156017819338
Shanono,Kano,12.0528,7.986458,6959,9.746428571428572,0.321728859387704
Sule-Tankarkar,Jigawa,12.493398,9.285035,999,18.93,0.2723745142320351
Sule-Tankarkar,Jigawa,12.7562065,9.3005344,1885,16.523333333333333,0.3433275789185161
Sumaila,Kano,11.12321122,8.846287362,4700,14.516,0.2583445539215327
Sumaila,Kano,11.38860188,9.00476271,5238,17.288,0.2877313138478971
Takai,Kano,11.43708802,9.136972174,8629,18.586666666666666,0.1962550202109217
Takai,Kano,11.611597,9.085984,5120,6.957272727272727,0.33975792467716764
Tarauni,Kano,11.96313164,8.535550031,5946,10.795,0.2868327949259504
Tarauni,Kano,11.982914,8.552165,5133,16.1575,0.2897870061421245
Taura,Jigawa,12.2590762,9.2340466,2354,17.883636363636363,0.34104608665692
Taura,Jigawa,12.2741373,9.5372544,1233,13.935714285714285,0.393720858996069
Tofa,Kano,12.03841,8.32023,4243,20.184545454545457,0.00030303030303030303
Tofa,Kano,12.05791198,8.334745131,3474,19.54714285714286,0.28066261788263935
Tsanyawa,Kano,12.19196938,8.01627349,9766,6.185882352941177,0.27988575324777987
Tsanyawa,Kano,12.28003277,7.94132408,5689,12.162727272727272,0.294539648347972
Tudun Wada,Kano,11.2894919,8.485156884,7711,15.099090909090908,0.19457334573978793
Tudun Wada,Kano,11.407798,8.771787,7080,13.585,0.26077184383764895
Ungogo,Kano,12.05943395,8.619827234,3504,15.603333333333333,0.2840812771753415
Ungogo,Kano,12.07294707,8.58133536,3402,15.135,0.3696312654352509
Warawa,Kano,11.893863,8.854604,5053,14.020833333333334,0.37377241706433967
Warawa,Kano,11.95732994,8.783268189,5126,17.65857142857143,0.1753779484494078
Wudil,Kano,11.743571,8.855573,3965,17.42818181818182,0.3271457948534294
Wudil,Kano,11.74412461,8.88214013,4673,18.35625,0.23566930929130023
Yankwashi,Jigawa,12.695031,8.5808204,1666,15.857,0.3971346510480499
Yankwashi,Jigawa,12.700245,8.552039,2378,9.88090909090909,0.3491192072216232
Zango,Katsina,12.920785,8.489995,2159,16.12125,0.29896213819083944
Zango,Katsina,12.93225667,8.508998333,1208,16.044,0.27474335625631857
